,ID,Description,human_SYMBOL,human_log2FoldChange,human_padj,human_sig,mouse_SYMBOL,mouse_log2FoldChange,mouse_padj,mouse_sig,sig
417,hsa00480,Glutathione metabolism,HPGDS,4.597844816,NA,NA,Hpgds,2.576039491,0.000335385,up,NA
418,hsa00480,Glutathione metabolism,LANCL1,0.563755434,0.518923374,none,Lancl1,-0.789182677,0.036741925,none,none
419,hsa00480,Glutathione metabolism,NAT8,-3.565115877,0.373004164,none,Nat8,-4.156860995,0.185223035,none,none
420,hsa00480,Glutathione metabolism,GSR,1.468283423,0.006099798,none,Gsr,3.221421192,1.41E-18,up,none
421,hsa00480,Glutathione metabolism,IDH1,4.850882963,3.46E-33,up,Idh1,4.283303212,4.98E-49,up,same
422,hsa00480,Glutathione metabolism,IDH2,-4.316068607,9.00E-22,down,Idh2,4.668722849,4.31E-10,up,diff
423,hsa00480,Glutathione metabolism,PGD,2.522050668,1.91E-08,up,Pgd,1.844591546,1.13E-25,up,same
424,hsa00480,Glutathione metabolism,G6PD,0.827699707,0.475124078,none,G6pdx,-3.21931336,6.65E-28,down,none
425,hsa00480,Glutathione metabolism,TXNDC12,1.726804105,0.025019308,up,Txndc12,4.466553159,7.86E-48,up,same
426,hsa00480,Glutathione metabolism,GPX4,1.564089317,0.000696502,up,Gpx4,1.967565007,1.05E-06,up,same
427,hsa00480,Glutathione metabolism,GPX2,8.752696569,3.73E-60,up,Gpx2,8.287753413,1.62E-13,up,same
428,hsa00480,Glutathione metabolism,GPX3,1.782611674,0.025874255,up,Gpx3,-3.535617772,1.91E-15,down,diff
429,hsa00480,Glutathione metabolism,GPX1,0.322055503,0.556173275,none,Gpx1,2.331259244,8.53E-13,up,none
430,hsa00480,Glutathione metabolism,GPX5,-2.484531716,NA,NA,Gpx5,4.739163802,0.049596068,up,NA
431,hsa00480,Glutathione metabolism,GPX8,-1.659727396,0.264901095,none,Gpx8,0.502396915,NA,none,none
432,hsa00480,Glutathione metabolism,PRDX6,3.250162527,1.83E-14,up,Prdx6,3.175549274,4.78E-27,up,same
433,hsa00480,Glutathione metabolism,ODC1,-1.180401804,0.004752082,none,Odc1,-0.061649589,0.881199667,none,none
434,hsa00480,Glutathione metabolism,SRM,1.410528817,0.003264391,none,Srm,1.732274129,4.48E-08,up,none
435,hsa00480,Glutathione metabolism,SMS,-0.009517904,0.987414353,none,Sms,-0.911320572,5.24E-05,none,none
436,hsa00480,Glutathione metabolism,RRM1,1.661165537,0.000124529,up,Rrm1,1.981884926,1.71E-23,up,same
437,hsa00480,Glutathione metabolism,RRM2B,0.057239481,0.922879849,none,Rrm2b,-5.305807246,5.29E-135,down,none
438,hsa00480,Glutathione metabolism,RRM2,-0.503300394,0.289548282,none,Rrm2,1.240093387,2.43E-11,none,none
439,hsa00010,Glycolysis / Gluconeogenesis,HK3,1.190043308,NA,none,Hk3,4.217356167,0.27342667,none,none
440,hsa00010,Glycolysis / Gluconeogenesis,HK1,0.634342954,0.27847629,none,Hk1,0.264187904,0.532336933,none,none
441,hsa00010,Glycolysis / Gluconeogenesis,HK2,-2.274393579,5.72E-08,down,Hk2,2.767863208,2.64E-12,up,diff
442,hsa00010,Glycolysis / Gluconeogenesis,HKDC1,-3.031267537,NA,NA,Hkdc1,3.522106683,0.008199107,up,NA
443,hsa00010,Glycolysis / Gluconeogenesis,GCK,-2.661492655,0.011345008,down,Gck,-3.782115688,0.022599626,down,same
444,hsa00010,Glycolysis / Gluconeogenesis,GPI,3.030878781,7.86E-14,up,Gpi1,2.38045608,2.20E-08,up,same
445,hsa00010,Glycolysis / Gluconeogenesis,PFKM,0.394992603,0.665217804,none,Pfkm,0.012094612,0.991532056,none,none
446,hsa00010,Glycolysis / Gluconeogenesis,PFKP,0.953242605,0.032933177,none,Pfkp,-1.622529397,0.031860153,down,none
447,hsa00010,Glycolysis / Gluconeogenesis,PFKL,3.199926408,4.34E-08,up,Pfkl,-1.456037812,0.023733275,none,none
448,hsa00010,Glycolysis / Gluconeogenesis,FBP1,8.065719916,5.63E-06,up,Fbp1,0.445557309,0.543234675,none,none
449,hsa00010,Glycolysis / Gluconeogenesis,FBP2,-7.114400202,0.0020721,down,Fbp2,9.641742596,1.70E-98,up,diff
450,hsa00010,Glycolysis / Gluconeogenesis,ALDOC,0.239408509,0.741256698,none,Aldoc,-0.230340068,0.841075806,none,none
451,hsa00010,Glycolysis / Gluconeogenesis,ALDOA,0.115900881,0.895055088,none,Aldoa,3.365743951,2.24E-21,up,none
452,hsa00010,Glycolysis / Gluconeogenesis,ALDOB,-3.894244249,NA,NA,Aldob,-5.090188256,0.191735857,none,none
453,hsa00010,Glycolysis / Gluconeogenesis,TPI1,4.618939635,2.12E-33,up,Tpi1,1.329485421,0.00197175,none,none
454,hsa00010,Glycolysis / Gluconeogenesis,GAPDH,3.989475285,6.03E-16,up,Gapdh,2.71789341,7.85E-09,up,same
455,hsa00010,Glycolysis / Gluconeogenesis,PGK1,4.513178806,1.29E-19,up,Pgk1,-0.750759754,0.034864353,none,none
456,hsa00010,Glycolysis / Gluconeogenesis,PGAM1,1.985973308,6.52E-05,up,Pgam1,1.08203399,0.000256295,none,none
457,hsa00010,Glycolysis / Gluconeogenesis,ENO3,4.145489599,1.70E-06,up,Eno3,-0.086129802,0.940922752,none,none
458,hsa00010,Glycolysis / Gluconeogenesis,ENO2,-0.170923683,0.790312042,none,Eno2,2.48532295,0.062326796,none,none
459,hsa00010,Glycolysis / Gluconeogenesis,ENO1,3.098344174,5.37E-10,up,Eno1,2.078264277,9.29E-05,up,same
460,hsa00010,Glycolysis / Gluconeogenesis,ENO4,-0.874872316,NA,none,Eno4,0.809370834,0.359293191,none,none
461,hsa00010,Glycolysis / Gluconeogenesis,PKM,1.938671273,0.000546621,up,Pkm,0.24064652,0.52413276,none,none
462,hsa00010,Glycolysis / Gluconeogenesis,PKLR,-4.372313084,0.036134573,down,Pklr,-4.672021917,0.013648275,down,same
463,hsa00010,Glycolysis / Gluconeogenesis,PDHA1,3.626181815,6.98E-18,up,Pdha1,1.801390869,1.44E-13,up,same
464,hsa00010,Glycolysis / Gluconeogenesis,PDHB,3.655443719,1.10E-12,up,Pdhb,0.703592144,0.019584051,none,none
465,hsa00010,Glycolysis / Gluconeogenesis,DLAT,5.712384295,3.49E-39,up,Dlat,1.014297444,0.002432129,none,none
466,hsa00010,Glycolysis / Gluconeogenesis,DLD,2.672763523,7.19E-08,up,Dld,1.53124752,6.13E-06,up,same
467,hsa00010,Glycolysis / Gluconeogenesis,LDHA,1.722591356,0.006156167,up,Ldha,-2.636764507,2.04E-08,down,diff
468,hsa00010,Glycolysis / Gluconeogenesis,LDHB,4.771566813,2.73E-29,up,Ldhb,-7.13705358,1.06E-07,down,diff
469,hsa00010,Glycolysis / Gluconeogenesis,LDHC,-4.380338479,5.84E-08,down,Ldhc,-5.047265081,8.66E-09,down,same
470,hsa00010,Glycolysis / Gluconeogenesis,ADH7,-3.310401054,NA,NA,Adh7,-5.779742732,0.000109769,down,NA
471,hsa00010,Glycolysis / Gluconeogenesis,ADH5,2.120305878,9.49E-07,up,Adh5,-1.200912215,1.13E-05,none,none
472,hsa00010,Glycolysis / Gluconeogenesis,AKR1A1,3.550934399,2.58E-17,up,Akr1a1,2.336227743,1.07E-33,up,same
473,hsa00010,Glycolysis / Gluconeogenesis,ALDH2,3.622725091,4.44E-14,up,Aldh2,0.896156031,0.038757786,none,none
474,hsa00010,Glycolysis / Gluconeogenesis,ALDH3A2,3.403652778,3.27E-08,up,Aldh3a2,1.930358055,2.79E-09,up,same
475,hsa00010,Glycolysis / Gluconeogenesis,ALDH1B1,3.463939794,3.66E-07,up,Aldh1b1,0.276528136,0.863176211,none,none
476,hsa00010,Glycolysis / Gluconeogenesis,ALDH7A1,-0.072553099,0.91286917,none,Aldh7a1,-1.211194829,0.017198096,none,none
477,hsa00010,Glycolysis / Gluconeogenesis,ALDH9A1,-0.540947595,0.349528094,none,Aldh9a1,-1.121353895,1.10E-09,none,none
478,hsa00010,Glycolysis / Gluconeogenesis,ALDH3B1,-4.951471592,0.053437153,none,Aldh3b1,1.693667056,0.308001295,none,none
479,hsa00010,Glycolysis / Gluconeogenesis,ALDH3A1,-1.744019583,0.583481788,none,Aldh3a1,2.940437202,NA,NA,none
480,hsa00010,Glycolysis / Gluconeogenesis,ACSS1,-5.203206651,0.071027071,none,Acss1,6.288092605,1.28E-14,up,none
481,hsa00010,Glycolysis / Gluconeogenesis,ACSS2,0.019473778,0.981866931,none,Acss2,2.594141733,7.79E-05,up,none
482,hsa00010,Glycolysis / Gluconeogenesis,GALM,1.232416008,0.023592335,none,Galm,-2.312256797,3.67E-06,down,none
483,hsa00010,Glycolysis / Gluconeogenesis,PGM1,2.661440347,1.76E-05,up,Pgm2,2.020515999,2.05E-07,up,same
484,hsa00010,Glycolysis / Gluconeogenesis,PGM2,4.397619812,2.10E-24,up,Pgm1,2.823430887,5.98E-05,up,same
485,hsa00010,Glycolysis / Gluconeogenesis,G6PC2,-2.484531716,NA,NA,G6pc2,-6.830499425,1.41E-05,down,NA
486,hsa00010,Glycolysis / Gluconeogenesis,G6PC3,3.364236265,1.28E-10,up,G6pc3,3.178411276,1.04E-06,up,same
487,hsa00010,Glycolysis / Gluconeogenesis,ADPGK,-1.887517779,1.28E-05,down,Adpgk,0.599875953,0.067152453,none,none
488,hsa00010,Glycolysis / Gluconeogenesis,BPGM,-2.251065063,3.03E-07,down,Bpgm,-7.139471561,2.91E-101,down,same
489,hsa00010,Glycolysis / Gluconeogenesis,MINPP1,-1.94068588,0.000342904,down,Minpp1,0.405272356,0.135042948,none,none
490,hsa00010,Glycolysis / Gluconeogenesis,PCK1,-2.895941812,NA,NA,Pck1,1.668312168,NA,NA,NA
491,hsa00010,Glycolysis / Gluconeogenesis,PCK2,0.707516136,0.514962191,none,Pck2,0.405100671,0.488374256,none,none
492,hsa00071,Fatty acid degradation,ACAT2,2.611569386,1.10E-07,up,Acat3,0.366443628,0.686551555,none,none
493,hsa00071,Fatty acid degradation,ACAT2,2.611569386,1.10E-07,up,Acat2,3.090153865,1.82E-31,up,same
494,hsa00071,Fatty acid degradation,ACAT1,2.535916418,7.21E-08,up,Acat1,-2.41187751,2.05E-17,down,diff
495,hsa00071,Fatty acid degradation,ACAA1,0.830289997,0.095545421,none,Acaa1a,1.333807812,0.017803371,none,none
496,hsa00071,Fatty acid degradation,ACAA2,2.554244881,6.34E-07,up,Acaa2,6.993622827,6.66E-59,up,same
497,hsa00071,Fatty acid degradation,HADHB,3.726861647,1.30E-17,up,Hadhb,1.330809588,5.82E-08,none,none
498,hsa00071,Fatty acid degradation,HADH,1.089896469,0.030868337,none,Hadh,5.779047754,5.79E-60,up,none
499,hsa00071,Fatty acid degradation,HADHA,2.179724804,8.64E-07,up,Hadha,2.994083537,4.62E-33,up,same
500,hsa00071,Fatty acid degradation,EHHADH,2.459332727,0.113693428,none,Ehhadh,-3.353750454,0.028491528,down,none
501,hsa00071,Fatty acid degradation,ECHS1,3.171617256,5.93E-15,up,Echs1,1.386618501,2.99E-06,none,none
502,hsa00071,Fatty acid degradation,ACOX3,0.032151279,0.968241557,none,Acox3,-1.290938577,0.026947698,none,none
503,hsa00071,Fatty acid degradation,ACOX1,3.568963795,1.71E-12,up,Acox1,-0.443847323,0.069349277,none,none
504,hsa00071,Fatty acid degradation,ACADS,3.06925798,8.35E-09,up,Acads,2.302161972,0.000123673,up,same
505,hsa00071,Fatty acid degradation,ACADM,6.105361748,1.44E-37,up,Acadm,1.683168863,1.16E-10,up,same
506,hsa00071,Fatty acid degradation,ACADL,-6.39064316,0.026989385,down,Acadl,7.180116475,1.99E-33,up,diff
507,hsa00071,Fatty acid degradation,ACADSB,0.157097654,0.827733891,none,Acadsb,-1.672456293,1.35E-10,down,none
508,hsa00071,Fatty acid degradation,ACADVL,2.2509852,6.14E-06,up,Acadvl,3.165464075,1.91E-05,up,same
509,hsa00071,Fatty acid degradation,GCDH,1.768179427,0.00083773,up,Gcdh,1.528666563,0.004704203,up,same
510,hsa00071,Fatty acid degradation,ACSL6,4.783471252,NA,NA,Acsl6,3.521755707,2.07E-11,up,NA
511,hsa00071,Fatty acid degradation,ACSL4,1.27412547,0.089040664,none,Acsl4,-0.105854143,0.796651668,none,none
512,hsa00071,Fatty acid degradation,ACSL1,-2.124098511,0.005319053,down,Acsl1,-1.883400728,3.77E-10,down,same
513,hsa00071,Fatty acid degradation,ACSL5,2.783453119,NA,NA,Acsl5,3.995137375,8.79E-14,up,NA
514,hsa00071,Fatty acid degradation,ACSL3,1.040243613,0.027611089,none,Acsl3,-0.394753832,0.266962674,none,none
515,hsa00071,Fatty acid degradation,ACSBG1,-5.666959097,0.000287309,down,Acsbg1,7.347444195,9.03E-10,up,diff
516,hsa00071,Fatty acid degradation,ACSBG2,2.77405677,NA,NA,Acsbg2,2.039922729,0.193568205,none,none
517,hsa00071,Fatty acid degradation,CPT1A,0.661772479,0.452291379,none,Cpt1a,2.823365421,6.65E-29,up,none
518,hsa00071,Fatty acid degradation,CPT1C,-2.776373776,0.000112922,down,Cpt1c,-2.933646138,7.68E-08,down,same
519,hsa00071,Fatty acid degradation,CPT2,2.32492076,0.001692177,up,Cpt2,2.967987805,3.72E-16,up,same
520,hsa00071,Fatty acid degradation,ECI1,3.756107249,2.29E-16,up,Eci1,-0.897731988,0.016443674,none,none
521,hsa00071,Fatty acid degradation,ECI2,1.294632749,0.077602668,none,Eci2,3.362939652,3.62E-09,up,none
522,hsa00071,Fatty acid degradation,CYP2U1,-2.424662315,0.06007419,none,Cyp2u1,-6.144176143,0.000845647,down,none
523,hsa00071,Fatty acid degradation,ADH7,-3.310401054,NA,NA,Adh7,-5.779742732,0.000109769,down,NA
524,hsa00071,Fatty acid degradation,ADH5,2.120305878,9.49E-07,up,Adh5,-1.200912215,1.13E-05,none,none
525,hsa00071,Fatty acid degradation,ALDH2,3.622725091,4.44E-14,up,Aldh2,0.896156031,0.038757786,none,none
526,hsa00071,Fatty acid degradation,ALDH3A2,3.403652778,3.27E-08,up,Aldh3a2,1.930358055,2.79E-09,up,same
527,hsa00071,Fatty acid degradation,ALDH1B1,3.463939794,3.66E-07,up,Aldh1b1,0.276528136,0.863176211,none,none
528,hsa00071,Fatty acid degradation,ALDH7A1,-0.072553099,0.91286917,none,Aldh7a1,-1.211194829,0.017198096,none,none
529,hsa00071,Fatty acid degradation,ALDH9A1,-0.540947595,0.349528094,none,Aldh9a1,-1.121353895,1.10E-09,none,none
530,hsa00620,Pyruvate metabolism,ACSS1,-5.203206651,0.071027071,none,Acss1,6.288092605,1.28E-14,up,none
531,hsa00620,Pyruvate metabolism,ACSS2,0.019473778,0.981866931,none,Acss2,2.594141733,7.79E-05,up,none
532,hsa00620,Pyruvate metabolism,PDHA1,3.626181815,6.98E-18,up,Pdha1,1.801390869,1.44E-13,up,same
533,hsa00620,Pyruvate metabolism,PDHB,3.655443719,1.10E-12,up,Pdhb,0.703592144,0.019584051,none,none
534,hsa00620,Pyruvate metabolism,DLAT,5.712384295,3.49E-39,up,Dlat,1.014297444,0.002432129,none,none
535,hsa00620,Pyruvate metabolism,DLD,2.672763523,7.19E-08,up,Dld,1.53124752,6.13E-06,up,same
536,hsa00620,Pyruvate metabolism,ADH7,-3.310401054,NA,NA,Adh7,-5.779742732,0.000109769,down,NA
537,hsa00620,Pyruvate metabolism,ADH5,2.120305878,9.49E-07,up,Adh5,-1.200912215,1.13E-05,none,none
538,hsa00620,Pyruvate metabolism,AKR1A1,3.550934399,2.58E-17,up,Akr1a1,2.336227743,1.07E-33,up,same
539,hsa00620,Pyruvate metabolism,PKM,1.938671273,0.000546621,up,Pkm,0.24064652,0.52413276,none,none
540,hsa00620,Pyruvate metabolism,PKLR,-4.372313084,0.036134573,down,Pklr,-4.672021917,0.013648275,down,same
541,hsa00620,Pyruvate metabolism,ACACA,0.191200052,0.762496713,none,Acaca,1.92815557,1.98E-06,up,none
542,hsa00620,Pyruvate metabolism,ACACB,-1.728262928,0.188187878,none,Acacb,-0.386383954,0.16004308,none,none
543,hsa00620,Pyruvate metabolism,ACYP2,2.265244851,0.043489205,up,Acyp2,1.113172116,0.327872119,none,none
544,hsa00620,Pyruvate metabolism,ACYP1,-0.413509,0.548722898,none,Acyp1,0.179731812,0.708859494,none,none
545,hsa00620,Pyruvate metabolism,ALDH2,3.622725091,4.44E-14,up,Aldh2,0.896156031,0.038757786,none,none
546,hsa00620,Pyruvate metabolism,ALDH3A2,3.403652778,3.27E-08,up,Aldh3a2,1.930358055,2.79E-09,up,same
547,hsa00620,Pyruvate metabolism,ALDH1B1,3.463939794,3.66E-07,up,Aldh1b1,0.276528136,0.863176211,none,none
548,hsa00620,Pyruvate metabolism,ALDH7A1,-0.072553099,0.91286917,none,Aldh7a1,-1.211194829,0.017198096,none,none
549,hsa00620,Pyruvate metabolism,ALDH9A1,-0.540947595,0.349528094,none,Aldh9a1,-1.121353895,1.10E-09,none,none
550,hsa00620,Pyruvate metabolism,LDHA,1.722591356,0.006156167,up,Ldha,-2.636764507,2.04E-08,down,diff
551,hsa00620,Pyruvate metabolism,LDHB,4.771566813,2.73E-29,up,Ldhb,-7.13705358,1.06E-07,down,diff
552,hsa00620,Pyruvate metabolism,LDHC,-4.380338479,5.84E-08,down,Ldhc,-5.047265081,8.66E-09,down,same
553,hsa00620,Pyruvate metabolism,LDHD,-5.193305284,0.149561724,none,Ldhd,-4.764425772,5.06E-10,down,none
554,hsa00620,Pyruvate metabolism,GLO1,2.548969949,7.09E-08,up,Glo1,3.146406911,4.90E-14,up,same
555,hsa00620,Pyruvate metabolism,HAGH,-0.752578383,0.152136387,none,Hagh,0.339784412,0.606402459,none,none
556,hsa00620,Pyruvate metabolism,GRHPR,1.489342719,0.002087092,none,Grhpr,2.472276565,8.99E-06,up,none
557,hsa00620,Pyruvate metabolism,ME2,3.481685834,4.54E-13,up,Me2,-0.799513225,0.000554426,none,none
558,hsa00620,Pyruvate metabolism,ME3,-4.783651841,7.31E-12,down,Me3,-4.037683023,2.41E-15,down,same
559,hsa00620,Pyruvate metabolism,ME1,-1.535654445,0.151375752,none,Me1,0.386151228,0.118580236,none,none
560,hsa00620,Pyruvate metabolism,PC,-0.632705738,0.347132936,none,Pcx,-2.782528226,0.001070711,down,none
561,hsa00620,Pyruvate metabolism,MDH1,5.389091512,6.91E-42,up,Mdh1,2.649929994,1.30E-19,up,same
562,hsa00620,Pyruvate metabolism,MDH2,4.208503813,3.00E-27,up,Mdh2,1.751294178,4.62E-15,up,same
563,hsa00620,Pyruvate metabolism,FH,1.399368366,0.005643919,none,Fh1,1.912263286,3.21E-07,up,none
564,hsa00620,Pyruvate metabolism,PCK1,-2.895941812,NA,NA,Pck1,1.668312168,NA,NA,NA
565,hsa00620,Pyruvate metabolism,PCK2,0.707516136,0.514962191,none,Pck2,0.405100671,0.488374256,none,none
566,hsa00620,Pyruvate metabolism,ACAT2,2.611569386,1.10E-07,up,Acat3,0.366443628,0.686551555,none,none
567,hsa00620,Pyruvate metabolism,ACAT2,2.611569386,1.10E-07,up,Acat2,3.090153865,1.82E-31,up,same
568,hsa00620,Pyruvate metabolism,ACAT1,2.535916418,7.21E-08,up,Acat1,-2.41187751,2.05E-17,down,diff
569,hsa00330,Arginine and proline metabolism,GATM,-3.932973189,2.40E-08,down,Gatm,-1.939855769,0.269804732,none,none
570,hsa00330,Arginine and proline metabolism,GAMT,3.757751887,2.90E-07,up,Gamt,1.914180209,0.211802062,none,none
571,hsa00330,Arginine and proline metabolism,CKM,-2.440995573,0.120702535,none,Ckm,1.199026799,NA,none,none
572,hsa00330,Arginine and proline metabolism,CKMT1A,4.242740655,0.000133647,up,Ckmt1,6.058451745,5.62E-33,up,same
573,hsa00330,Arginine and proline metabolism,CKMT1A,3.84949823,0.002650614,up,Ckmt1,6.058451745,5.62E-33,up,same
574,hsa00330,Arginine and proline metabolism,CKB,3.177791389,2.62E-10,up,Ckb,2.702858456,1.11E-11,up,same
575,hsa00330,Arginine and proline metabolism,CKMT1B,4.242740655,0.000133647,up,Ckmt1,6.058451745,5.62E-33,up,same
576,hsa00330,Arginine and proline metabolism,CKMT1B,3.84949823,0.002650614,up,Ckmt1,6.058451745,5.62E-33,up,same
577,hsa00330,Arginine and proline metabolism,ODC1,-1.180401804,0.004752082,none,Odc1,-0.061649589,0.881199667,none,none
578,hsa00330,Arginine and proline metabolism,SRM,1.410528817,0.003264391,none,Srm,1.732274129,4.48E-08,up,none
579,hsa00330,Arginine and proline metabolism,SMS,-0.009517904,0.987414353,none,Sms,-0.911320572,5.24E-05,none,none
580,hsa00330,Arginine and proline metabolism,AMD1,-1.187086074,0.027591759,none,Amd1,-1.542208208,1.33E-14,down,none
581,hsa00330,Arginine and proline metabolism,AMD1,-1.187086074,0.027591759,none,Amd2,-1.730699811,1.54E-08,down,none
582,hsa00330,Arginine and proline metabolism,AOC1,-2.484531716,NA,NA,Aoc1,2.214359793,0.373903603,none,none
583,hsa00330,Arginine and proline metabolism,SMOX,-2.076569444,4.97E-06,down,Smox,-3.025794726,7.17E-08,down,same
584,hsa00330,Arginine and proline metabolism,ALDH2,3.622725091,4.44E-14,up,Aldh2,0.896156031,0.038757786,none,none
585,hsa00330,Arginine and proline metabolism,ALDH3A2,3.403652778,3.27E-08,up,Aldh3a2,1.930358055,2.79E-09,up,same
586,hsa00330,Arginine and proline metabolism,ALDH1B1,3.463939794,3.66E-07,up,Aldh1b1,0.276528136,0.863176211,none,none
587,hsa00330,Arginine and proline metabolism,ALDH7A1,-0.072553099,0.91286917,none,Aldh7a1,-1.211194829,0.017198096,none,none
588,hsa00330,Arginine and proline metabolism,ALDH9A1,-0.540947595,0.349528094,none,Aldh9a1,-1.121353895,1.10E-09,none,none
589,hsa00330,Arginine and proline metabolism,CNDP1,1.006605137,0.588710691,none,Cndp1,-3.371806027,0.00436722,down,none
590,hsa00330,Arginine and proline metabolism,CNDP2,3.387351399,1.35E-09,up,Cndp2,4.223257238,3.24E-56,up,same
591,hsa00330,Arginine and proline metabolism,CARNS1,-4.308028356,NA,NA,Carns1,-2.656764419,0.053611704,none,none
592,hsa00330,Arginine and proline metabolism,SAT2,1.891766156,0.026370706,up,Sat2,-8.014865257,7.49E-08,down,diff
593,hsa00330,Arginine and proline metabolism,SAT1,3.853965234,1.14E-18,up,Sat1,2.128076536,4.09E-11,up,same
594,hsa00330,Arginine and proline metabolism,MAOB,-3.698387006,NA,NA,Maob,-10.85043238,1.09E-22,down,NA
595,hsa00330,Arginine and proline metabolism,MAOA,0.002301196,0.998952709,none,Maoa,0.567052962,0.185363024,none,none
596,hsa00330,Arginine and proline metabolism,AGMAT,-2.584012222,0.125091605,none,Agmat,-3.093021035,0.000593843,down,none
597,hsa00330,Arginine and proline metabolism,NOS1,-3.718529427,0.291996786,none,Nos1,-2.777317719,5.93E-28,down,none
598,hsa00330,Arginine and proline metabolism,NOS2,1.298868935,0.12178062,none,Nos2,-1.376988204,NA,none,none
599,hsa00330,Arginine and proline metabolism,NOS3,0.650471512,0.526355847,none,Nos3,-2.770956927,NA,NA,none
600,hsa00330,Arginine and proline metabolism,ARG2,-0.9514344,0.110956561,none,Arg2,-6.453293684,2.22E-34,down,none
601,hsa00330,Arginine and proline metabolism,ARG1,6.53876233,0.016239061,up,Arg1,-0.357392126,0.442105772,none,none
602,hsa00330,Arginine and proline metabolism,OAT,0.196801034,0.757536371,none,Oat,-2.07472489,7.10E-23,down,none
603,hsa00330,Arginine and proline metabolism,PYCR2,2.239539354,0.00010506,up,Pycr2,2.26695846,1.79E-06,up,same
604,hsa00330,Arginine and proline metabolism,PYCR1,2.058933884,0.001284425,up,Pycr1,-1.135499191,0.015403657,none,none
605,hsa00330,Arginine and proline metabolism,PRODH,6.932242923,1.35E-09,up,Prodh,3.989614347,4.47E-14,up,same
606,hsa00330,Arginine and proline metabolism,PRODH,3.862727664,0.061034317,none,Prodh,3.989614347,4.47E-14,up,none
607,hsa00330,Arginine and proline metabolism,ALDH4A1,2.665630843,0.003509261,up,Aldh4a1,0.839761706,0.204661392,none,none
608,hsa00330,Arginine and proline metabolism,ALDH18A1,-0.923592308,0.113008694,none,Aldh18a1,-2.201819396,1.24E-16,down,none
609,hsa00330,Arginine and proline metabolism,LAP3,1.518549132,0.003640249,up,Lap3,3.905960145,2.29E-25,up,same
610,hsa00330,Arginine and proline metabolism,P4HA2,-2.600793084,0.003352565,down,P4ha2,-0.822302745,0.00309849,none,none
611,hsa00330,Arginine and proline metabolism,P4HA3,-6.555296253,0.010681045,down,P4ha3,-3.525315024,0.070808596,none,none
612,hsa00330,Arginine and proline metabolism,P4HA1,-0.7759202,0.185287999,none,P4ha1,1.950301011,2.80E-13,up,none
613,hsa00330,Arginine and proline metabolism,GOT1,1.955615888,0.000217975,up,Got1,2.763930207,3.21E-20,up,same
614,hsa00330,Arginine and proline metabolism,GOT1L1,-2.895941812,NA,NA,Got1l1,3.719426773,1.90E-09,up,NA
615,hsa00330,Arginine and proline metabolism,GOT2,3.457575494,1.15E-17,up,Got2,1.608084013,7.85E-06,up,same
616,hsa00330,Arginine and proline metabolism,L3HYPDH,0.41137808,0.540380495,none,L3hypdh,0.840570567,0.524773705,none,none
617,hsa00983,Drug metabolism - other enzymes,HPRT1,0.012214641,0.986379263,none,Hprt,1.380083381,5.02E-05,none,none
618,hsa00983,Drug metabolism - other enzymes,IMPDH1,-1.948904258,2.70E-05,down,Impdh1,1.065521506,0.023255374,none,none
619,hsa00983,Drug metabolism - other enzymes,IMPDH2,-3.977297362,0.026388036,down,Impdh2,0.871988048,0.00045798,none,none
620,hsa00983,Drug metabolism - other enzymes,GMPS,0.550603952,0.46681384,none,Gmps,0.512487617,0.079539913,none,none
621,hsa00983,Drug metabolism - other enzymes,TPMT,3.614999123,2.78E-14,up,Tpmt,-0.177029704,0.723389078,none,none
622,hsa00983,Drug metabolism - other enzymes,XDH,3.799371009,0.126085955,none,Xdh,-6.662273367,6.69E-05,down,none
623,hsa00983,Drug metabolism - other enzymes,ITPA,2.926512419,1.01E-09,up,Itpa,1.550088719,1.78E-07,up,same
624,hsa00983,Drug metabolism - other enzymes,GUSB,-1.472156237,0.015689777,none,Gusb,3.097174684,6.42E-11,up,none
625,hsa00983,Drug metabolism - other enzymes,CDA,2.522034515,5.21E-05,up,Cda,-6.238809617,0.001136365,down,diff
626,hsa00983,Drug metabolism - other enzymes,TYMP,3.319113737,0.004744554,up,Tymp,1.06189838,0.705575195,none,none
627,hsa00983,Drug metabolism - other enzymes,DPYS,-7.353734791,0.000624624,down,Dpys,-6.96768484,4.60E-06,down,same
628,hsa00983,Drug metabolism - other enzymes,UPB1,-4.639543197,0.001117699,down,Upb1,-4.794848369,0.108059211,none,none
629,hsa00983,Drug metabolism - other enzymes,CYP2A6,-4.164151409,0.196576094,none,Cyp2a4,-7.268140116,0.000729659,down,none
630,hsa00983,Drug metabolism - other enzymes,CYP2A6,-4.164151409,0.196576094,none,Cyp2a5,0.306859264,0.944300178,none,none
631,hsa00983,Drug metabolism - other enzymes,CYP2A7,-3.951413863,NA,NA,Cyp2a4,-7.268140116,0.000729659,down,NA
632,hsa00983,Drug metabolism - other enzymes,CYP2A7,-3.951413863,NA,NA,Cyp2a5,0.306859264,0.944300178,none,none
633,hsa00983,Drug metabolism - other enzymes,UPP1,4.169294171,2.10E-24,up,Upp1,2.451284863,6.51E-11,up,same
634,hsa00983,Drug metabolism - other enzymes,UCK1,1.380304937,0.006350923,none,Uck1,4.402017872,1.09E-07,up,none
635,hsa00983,Drug metabolism - other enzymes,UCK2,1.985276356,4.26E-05,up,Uck2,-0.744181191,0.002130694,none,none
